  194.41   -322.49    340.35    -63.64
  729.84    610.44     81.63    745.87
  157.62    760.48   -470.15    776.14
 -245.57    580.40    218.13    353.20
 -212.13    538.04    934.18    762.45
   -0.98    757.07    551.69   -696.63
  669.06    655.71   -134.97    214.11
 -812.92   -168.12    634.93    668.35
    7.75    366.38     54.53    251.67
 -580.07    702.53    409.93   -407.88
  643.61    309.41    835.98   -849.72
 -569.57    446.93    758.03    565.93
 -436.14   -474.83    861.60    414.28
 -561.71   -213.50   -752.92   -258.27
 -757.96   -662.19   -197.00    331.44
 -822.61    -78.29    771.28    291.66
  621.50    239.19    -20.62   -735.41
  165.43   -877.40   -720.83   -678.65
 -936.23    406.73    358.98   -561.42
 -213.81    -42.94   -715.14   -655.15
 -917.73    987.92   -121.00    480.14
 -745.25    539.88    357.87   -170.96
  181.61   -215.58   -470.77    468.78
   35.89   -314.91    287.04    815.33
  622.72   -531.49   -855.06    756.24
 -213.87    344.64   -886.43   -873.63
  434.31    964.65   -645.99   -687.53
 -610.41    216.14    728.73    165.75
 -509.24   -870.92   -376.03   -144.09
 -841.96    902.45   -768.62    818.34
  976.92    360.13   -146.06    525.88
  765.48   -493.99   -259.23   -540.81
 -940.00    272.24   -543.00    354.95
  -12.51   -959.38   -140.19   -421.29
   88.96     66.25    378.22    298.94
 -184.28    543.56    484.14     32.06
 -858.29    729.03    993.65     82.55
   17.84    270.87   -847.60   -579.52
  240.36    695.10    335.63    618.37
 -286.85   -141.48   -367.09    612.34
 -945.17   -896.91    589.69    257.00
   34.38   -167.61    -57.91    -88.16
 -584.71   -720.13    308.37   -373.80
  445.73   -650.26   -509.98   -116.91
 -546.45   -414.81   -712.72    316.84
  787.72   -444.84    548.35   -662.66
 -306.23   -750.50    548.69   -826.52
 -381.11    433.64   -264.11    491.33
  -87.09   -661.96   -621.99    447.30
  -75.01   -456.35   -282.74   -195.62
   91.05   -526.35   -141.63    569.40
 -234.38   -486.94   -190.17   -497.81
 -727.92   -548.54   -151.23    802.02
  -71.09   -319.30    694.28   -704.95
  654.87   -621.99   -149.04   -474.29
 -835.57   -233.66    924.21    298.38
 -264.51    467.79   -289.56    420.12
   64.60    -48.10   -570.12   -336.74
  820.48   -870.10   -403.12   -703.64
 -834.93    256.80    711.60    924.99
 -268.20   -522.31    209.32    838.55
 -665.79    590.12    -82.00   -422.82
 -976.49   -105.80   -348.68   -987.41
 -977.89   -637.52   -495.51   -120.43
  530.66   -213.81    921.51   -600.22
 -560.57   -959.58   -332.73   -593.01
  570.63   -840.41    464.89    213.23
 -763.69   -473.85   -751.94    347.59
 -382.74    149.12    729.96   -745.22
  751.74    745.30    305.12   -942.04
  768.04    135.06    177.24    570.34
  403.74    325.76     45.57   -116.92
 -175.26    579.75    684.40   -938.66
  290.49    750.18    314.61   -251.20
  307.73    216.81    793.28   -189.79
  572.89    865.08   -663.30    534.75
 -775.64   -274.15   -255.87   -622.33
  708.82   -870.70    904.17    735.42
  -88.37   -474.60   -257.59    829.59
  109.37    484.70    708.59    417.31
  773.55    817.01    403.48    751.33
 -712.63   -768.18     10.04    -20.12
 -766.53    513.22   -179.59   -992.72
 -931.42    793.36   -660.19   -271.87
  721.69   -817.74   -799.73    503.47
  -64.22   -251.68   -568.35   -235.30
 -981.42   -357.68    514.27    711.06
   76.13     19.55   -922.96    209.20
  773.77    338.06   -893.09   -791.58
 -797.92   -402.42     99.70    252.56
 -478.64    132.48   -290.30     -0.15
 -283.89    683.48    144.62   -945.56
 -988.16   -353.48    804.42   -131.52
 -710.22    633.66    477.11     -8.84
  180.69    779.66    781.60    521.29
 -572.90   -410.71    486.89    262.31
  574.26    543.99   -160.78    784.16
 -917.11   -826.70   -907.19    363.55
 -446.95   -155.27     67.20   -395.48
  906.09   -862.37   -256.66    433.69
 -907.23    339.98    662.75   -880.34
  178.65   -656.34    208.24    983.63
  503.53   -987.52   -277.89   -451.65
 -979.90    958.54    856.61     15.12
 -112.61    586.30    553.88    163.65
  928.15   -749.68   -383.21   -962.91
 -345.37    421.03    959.17   -895.27
 -774.26    864.62    313.24    987.36
  -80.90   -983.35    424.16   -714.58
 -515.28    965.66   -424.07   -432.42
   92.83   -238.53    670.03    157.50
  496.50    124.54     17.29     -0.81
 -499.63     56.38   -494.13   -413.72
  860.13   -662.53   -127.72   -291.79
  333.03    447.83    429.67    596.50
  757.83     56.84   -203.26    -53.37
  763.45    902.67    922.87    246.30
  988.63    617.95     19.37   -141.63
  540.76   -142.59    883.64    386.95
 -169.88    944.09   -457.30    997.37
 -113.44    174.96   -855.71    566.38
  798.81    -87.01   -411.72    805.88
 -987.75    641.38    518.13   -165.86
  879.41    267.26    -18.53     60.58
   77.78    135.74    321.00    705.62
 -706.80    451.74   -328.89   -205.59
  -87.73    105.67   -187.11   -956.50
 -624.03   -739.48   -920.63   -298.01
  316.84   -518.42    504.91    113.98
  635.76   -323.48    477.17    536.26
 -730.21    662.24   -223.09   -424.10
  560.68    786.30   -919.62   -495.65
  854.69   -295.42    751.11    660.27
  247.19   -846.93     62.14    170.40
  231.45    350.60   -133.03   -701.70
  419.16   -469.37   -823.33    873.10
  470.88     24.02    102.75   -544.53
  907.94   -698.96   -810.17    165.87
  572.89    429.69    288.92   -570.27
 -836.17   -481.14    811.79    287.42
  488.77   -111.60   -541.18    371.34
 -130.80    -55.17   -673.01    170.48
 -532.19   -959.97   -318.12    782.52
  223.66    -48.36    616.88     -3.39
  548.52     47.76   -675.33   -745.66
  -28.48   -315.21    770.70   -195.20
  514.91    -63.79   -814.85    198.95
 -258.16    361.23    -20.52   -838.27
 -862.06   -803.69    445.38   -165.13
 -228.56   -911.36    -91.23   -598.51
   22.63   -710.31   -111.98    183.08
 -418.82     88.14    245.30    442.57
 -118.92   -814.58    321.94   -668.16
 -324.27    703.28    612.84    689.93
 -448.35   -438.09    662.29    727.99
  837.34   -921.95    552.75   -970.05
  584.73   -193.18    610.23    752.52
 -916.39    886.86    764.30    426.15
 -284.70   -552.31   -622.26    338.31
  859.95    999.07   -699.72   -876.68
   42.66    146.24    402.82    887.73
 -463.32    461.20    913.06    -31.89
  237.67    889.00    500.28   -751.97
  781.40   -320.71    246.53    853.65
 -402.32   -492.74    393.59   -997.70
  876.69   -815.49     69.13   -203.76
 -730.37    158.97     72.97   -166.31
  553.59   -135.35    243.33    651.70
  461.52    905.53    925.13   -779.07
 -588.84   -955.61   -373.05    -20.63
  962.60     16.25   -920.11   -777.23
